id,idade,renda,categoria,nota,cidade_Belo Horizonte,cidade_Rio de Janeiro,cidade_São Paulo,cidade_Vitória,cidade_nan,feedback_Bom,feedback_Regular,feedback_Ruim,feedback_nan
1,-0.28128236346375685,-0.5943849424547201,A,-0.1588112258306067,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,1.2908861900314468,0.6603029882918604,B,0.15064754310614298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,1.1022259636120224,0.5063717171805902,B,0.013110312467587494,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,1.1022259636120224,0.37961821395689055,A,-1.0871875326408555,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,0.5991320264935572,-1.045391527110921,B,0.18503185076578169,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6,-1.2874702377006872,0.08452003595112444,B,-0.8808816866830224,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,-1.53901720625992,-1.3459218350828779,A,-0.6745758407251893,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,1.353772932171255,-0.8709585301923786,A,-0.537038610086634,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,-1.224583495560879,-0.3098286343150647,A,-0.19319553349024543,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,-1.664790690539536,0.32072354016903515,A,-1.155956147960133,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,0.22181157365470833,-1.0954875197980767,A,-0.1588112258306067,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12,0.09603808937509202,-0.5117332590930879,B,-1.396646301577605,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,-0.5957160741627976,-0.6719582690202281,A,-0.3307327641288009,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
14,1.6053199007304875,1.457664918481445,A,-1.396646301577605,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15,0.5362452843537491,-1.1530184550755123,A,1.5260198494916966,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,-1.2874702377006872,0.3010063919566691,B,0.5976435426814478,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
17,0.41047180007413275,-0.29558641121043,B,1.594788464810974,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
18,-1.601903948399728,-0.8583938766361263,B,0.0011543476214693064,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
19,0.09603808937509202,0.9922221060789596,B,1.594788464810974,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
20,-0.8472630427220301,0.6160413999013753,A,-0.43388568710771735,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,-0.9101497848618383,0.41757750450319736,B,-0.9840346096619389,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,-0.7843763005822221,-1.3910735624174029,B,-0.7777287637041058,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
23,0.6620187686333654,0.7996439691473006,B,-0.3307327641288009,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
24,0.15892483151490017,1.4000740700058532,B,0.18503185076578169,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,0.2846983157945165,-1.155780168209584,B,0.3569533890639759,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
26,-0.5328293320229894,0.8082001444459382,A,1.182176772895308,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
27,-0.7214895584424139,0.013388804692159507,B,-1.4310306092372438,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,0.0061182976373441045,1.4683152027061248,A,-1.362261993917966,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,-0.40705584774337317,0.4216915441099448,A,1.6291727724706127,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
30,0.22181157365470833,-0.0327814470110262,B,0.8383336962989197,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,-1.53901720625992,1.3033456380868758,A,1.1134081575760302,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,-0.40705584774337317,1.0857180783069211,B,0.11626323544650395,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
33,-1.0988100112812627,-0.11448593123989806,A,1.0446395422567527,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,0.0061182976373441045,0.9626934584161052,A,0.013110312467587494,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,-0.7843763005822221,0.49165589450957536,B,0.21941615842542042,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
36,1.416659674311063,0.37244004221585275,B,1.3884826188531412,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,0.3475850579343246,-0.0426300355841829,B,0.735180773320003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,1.6682066428702957,1.0536445462271329,B,0.0011543476214693064,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
39,0.8506789950527898,0.556276558235532,B,1.6291727724706127,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,-0.15550887918414055,1.5793800070411257,A,1.4228669265127798,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,-1.0988100112812627,0.891411017657031,A,-1.602952147535438,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
43,0.0061182976373441045,-0.5086691269587975,A,1.3540983111935023,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,1.1651127057518305,-0.31237922475087054,A,1.2853296958742244,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45,-1.4761304641201116,0.819072963406628,B,0.42572200438325364,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,0.9764524793324061,0.027756560211979444,B,0.769565080979642,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
47,2.8630547435266505,2.4303870736562807,A,2.351243233323029,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,-0.02973539490452427,1.1183707713022222,A,0.3913376967236146,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
49,-0.46994258988318127,-1.280830424799977,B,0.32256908140433715,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
50,-1.161696753421071,1.519429719761941,A,-1.0528032249812167,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,1.2908861900314468,0.5427304694332875,B,-1.602952147535438,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,1.5424331585906794,1.1157802387343119,A,0.735180773320003,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
